
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  5.910485E+01 -1.025316E-01 -3.445216E-02  1.685140E-01 -2.395618E-03 -2.413410E-03 _shell_0000000261   
       261   2  5.906001E+01 -8.658466E-02 -6.899322E-03  1.674397E-01 -2.400626E-03  2.413172E-03 _shell_0000000261   
       261   3  5.644012E+01 -9.602526E-02  1.703833E-02  1.635082E-01  2.398384E-03 -2.410918E-03 _shell_0000000261   
       261   4  5.638441E+01 -9.275548E-02  1.332369E-02  1.642993E-01  2.389217E-03  2.406961E-03 _shell_0000000261   
       261   5  5.910485E+01 -1.025316E-01 -3.445216E-02  1.685140E-01  2.395618E-03  2.413410E-03 _shell_0000000261   
       261   6  5.906001E+01 -8.658466E-02 -6.899322E-03  1.674397E-01  2.400626E-03 -2.413172E-03 _shell_0000000261   
       261   7  5.644012E+01 -9.602526E-02  1.703833E-02  1.635082E-01 -2.398384E-03  2.410918E-03 _shell_0000000261   
       261   8  5.638441E+01 -9.275548E-02  1.332369E-02  1.642993E-01 -2.389217E-03 -2.406961E-03 _shell_0000000261   
       262   1  5.426475E+01 -2.610107E-01 -5.797292E-02  4.271621E-01 -3.059566E-04 -3.062911E-04 _shell_0000000262   
       262   2  5.433302E+01 -1.833595E-01  2.133484E-02  4.287489E-01 -3.094889E-04  3.097858E-04 _shell_0000000262   
       262   3  5.168541E+01 -2.592979E-01 -1.582510E-02  4.148306E-01  3.095440E-04 -3.098409E-04 _shell_0000000262   
       262   4  5.174702E+01 -1.858383E-01  5.596632E-02  4.150438E-01  3.067618E-04  3.070971E-04 _shell_0000000262   
       262   5  5.426475E+01 -2.610107E-01 -5.797292E-02  4.271621E-01  3.059566E-04  3.062911E-04 _shell_0000000262   
       262   6  5.433302E+01 -1.833595E-01  2.133484E-02  4.287489E-01  3.094889E-04 -3.097858E-04 _shell_0000000262   
       262   7  5.168541E+01 -2.592979E-01 -1.582510E-02  4.148306E-01 -3.095440E-04  3.098409E-04 _shell_0000000262   
       262   8  5.174702E+01 -1.858383E-01  5.596632E-02  4.150438E-01 -3.067618E-04 -3.070971E-04 _shell_0000000262   
       263   1  4.974472E+01 -4.426338E-01 -5.705441E-02  5.632248E-01 -5.053641E-04 -5.040397E-04 _shell_0000000263   
       263   2  4.979353E+01 -3.766616E-01  4.873050E-03  5.645070E-01 -5.091278E-04  5.084174E-04 _shell_0000000263   
       263   3  4.723630E+01 -4.406996E-01  3.814619E-03  5.560097E-01  5.091967E-04 -5.084862E-04 _shell_0000000263   
       263   4  4.727846E+01 -3.795315E-01  5.623295E-02  5.562692E-01  5.063812E-04  5.050541E-04 _shell_0000000263   
       263   5  4.974472E+01 -4.426338E-01 -5.705441E-02  5.632248E-01  5.053641E-04  5.040397E-04 _shell_0000000263   
       263   6  4.979353E+01 -3.766616E-01  4.873050E-03  5.645070E-01  5.091278E-04 -5.084174E-04 _shell_0000000263   
       263   7  4.723630E+01 -4.406996E-01  3.814619E-03  5.560097E-01 -5.091967E-04  5.084862E-04 _shell_0000000263   
       263   8  4.727846E+01 -3.795315E-01  5.623295E-02  5.562692E-01 -5.063812E-04 -5.050541E-04 _shell_0000000263   
       264   1  5.411277E+01 -1.740823E-01  1.663594E-02  5.867103E-01 -1.911108E-05  1.913217E-05 _shell_0000000264   
       264   2  5.154556E+01 -1.750780E-01  5.473589E-02  5.759710E-01  1.898002E-05  1.905721E-05 _shell_0000000264   
       264   3  5.407677E+01 -2.515048E-01 -5.076538E-02  5.854501E-01 -1.894154E-05 -1.901858E-05 _shell_0000000264   
       264   4  5.151222E+01 -2.511839E-01 -1.069644E-02  5.760607E-01  1.912479E-05 -1.914589E-05 _shell_0000000264   
       264   5  5.411277E+01 -1.740823E-01  1.663594E-02  5.867103E-01  1.911109E-05 -1.913217E-05 _shell_0000000264   
       264   6  5.154556E+01 -1.750780E-01  5.473589E-02  5.759710E-01 -1.898003E-05 -1.905722E-05 _shell_0000000264   
       264   7  5.407677E+01 -2.515048E-01 -5.076538E-02  5.854501E-01  1.894154E-05  1.901857E-05 _shell_0000000264   
       264   8  5.151222E+01 -2.511839E-01 -1.069644E-02  5.760607E-01 -1.912479E-05  1.914588E-05 _shell_0000000264   
       265   1  4.935729E+01 -4.146913E-01 -5.927450E-02  9.768756E-01 -3.683888E-04 -3.689024E-04 _shell_0000000265   
       265   2  4.938751E+01 -3.286103E-01  1.410178E-02  9.778528E-01 -3.699305E-04  3.698480E-04 _shell_0000000265   
       265   3  4.687113E+01 -4.133142E-01 -7.209225E-03  9.733458E-01  3.699708E-04 -3.698883E-04 _shell_0000000265   
       265   4  4.689692E+01 -3.305183E-01  5.951807E-02  9.736710E-01  3.688579E-04  3.693722E-04 _shell_0000000265   
       265   5  4.935729E+01 -4.146913E-01 -5.927450E-02  9.768756E-01  3.683888E-04  3.689024E-04 _shell_0000000265   
       265   6  4.938751E+01 -3.286103E-01  1.410178E-02  9.778528E-01  3.699305E-04 -3.698480E-04 _shell_0000000265   
       265   7  4.687113E+01 -4.133142E-01 -7.209225E-03  9.733458E-01 -3.699708E-04  3.698883E-04 _shell_0000000265   
       265   8  4.689692E+01 -3.305183E-01  5.951807E-02  9.736710E-01 -3.688579E-04 -3.693722E-04 _shell_0000000265   
       266   1  3.484981E+01 -6.412844E-01 -6.043942E-02  3.006539E+00 -5.410108E-04 -5.410109E-04 _shell_0000000266   
       266   2  3.485144E+01 -5.035115E-01  2.402480E-02  3.006540E+00 -5.410110E-04  5.410110E-04 _shell_0000000266   
       266   3  3.254587E+01 -6.396614E-01 -1.825832E-02  3.006539E+00  5.410110E-04 -5.410110E-04 _shell_0000000266   
       266   4  3.254425E+01 -5.051346E-01  5.863152E-02  3.006540E+00  5.410109E-04  5.410110E-04 _shell_0000000266   
       266   5  3.484981E+01 -6.412844E-01 -6.043942E-02  3.006539E+00  5.410108E-04  5.410109E-04 _shell_0000000266   
       266   6  3.485144E+01 -5.035115E-01  2.402480E-02  3.006540E+00  5.410110E-04 -5.410110E-04 _shell_0000000266   
       266   7  3.254587E+01 -6.396614E-01 -1.825832E-02  3.006539E+00 -5.410110E-04  5.410110E-04 _shell_0000000266   
       266   8  3.254425E+01 -5.051346E-01  5.863152E-02  3.006540E+00 -5.410109E-04 -5.410110E-04 _shell_0000000266   
       267   1  3.109189E+01 -7.868717E-01  1.376061E-02  3.136086E+00 -5.132336E-04  5.132334E-04 _shell_0000000267   
       267   2  2.879809E+01 -7.884117E-01  5.888819E-02  3.136085E+00  5.132329E-04  5.132333E-04 _shell_0000000267   
       267   3  3.109034E+01 -9.337322E-01 -6.061445E-02  3.136085E+00 -5.132327E-04 -5.132331E-04 _shell_0000000267   
       267   4  2.879963E+01 -9.321925E-01 -8.301121E-03  3.136084E+00  5.132336E-04 -5.132334E-04 _shell_0000000267   
       267   5  3.109189E+01 -7.868717E-01  1.376061E-02  3.136086E+00  5.132336E-04 -5.132334E-04 _shell_0000000267   
       267   6  2.879809E+01 -7.884117E-01  5.888819E-02  3.136085E+00 -5.132329E-04 -5.132333E-04 _shell_0000000267   
       267   7  3.109034E+01 -9.337322E-01 -6.061445E-02  3.136085E+00  5.132327E-04  5.132331E-04 _shell_0000000267   
