
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  6.872250E+01 -3.894112E-03 -1.502859E-02  1.392112E-02 -2.662292E-03 -2.682063E-03 _shell_0000000261   
       261   2  6.866984E+01 -1.503601E-02 -1.276909E-02  1.257098E-02 -2.667857E-03  2.681799E-03 _shell_0000000261   
       261   3  6.491275E+01  2.881605E-03  1.365602E-02  7.135759E-03  2.665365E-03 -2.679294E-03 _shell_0000000261   
       261   4  6.484912E+01 -2.178767E-02 -1.817281E-02  8.451240E-03  2.655178E-03  2.674896E-03 _shell_0000000261   
       261   5  6.872250E+01 -3.894112E-03 -1.502859E-02  1.392112E-02  2.662292E-03  2.682063E-03 _shell_0000000261   
       261   6  6.866984E+01 -1.503601E-02 -1.276909E-02  1.257098E-02  2.667857E-03 -2.681799E-03 _shell_0000000261   
       261   7  6.491275E+01  2.881605E-03  1.365602E-02  7.135759E-03 -2.665365E-03  2.679294E-03 _shell_0000000261   
       261   8  6.484912E+01 -2.178767E-02 -1.817281E-02  8.451240E-03 -2.655178E-03 -2.674896E-03 _shell_0000000261   
       262   1  6.203294E+01 -2.482202E-02 -2.647734E-02  1.384592E-02 -1.506061E-04 -1.507707E-04 _shell_0000000262   
       262   2  6.211063E+01  2.022652E-02  2.259274E-02  1.509070E-02 -1.523449E-04  1.524910E-04 _shell_0000000262   
       262   3  5.820989E+01 -2.274423E-02 -2.584283E-02 -5.159829E-03  1.523720E-04 -1.525182E-04 _shell_0000000262   
       262   4  5.827959E+01  1.793423E-02  1.652075E-02 -5.960824E-03  1.510025E-04  1.511675E-04 _shell_0000000262   
       262   5  6.203294E+01 -2.482202E-02 -2.647734E-02  1.384592E-02  1.506061E-04  1.507707E-04 _shell_0000000262   
       262   6  6.211063E+01  2.022652E-02  2.259274E-02  1.509070E-02  1.523449E-04 -1.524910E-04 _shell_0000000262   
       262   7  5.820989E+01 -2.274423E-02 -2.584283E-02 -5.159829E-03 -1.523720E-04  1.525182E-04 _shell_0000000262   
       262   8  5.827959E+01  1.793423E-02  1.652075E-02 -5.960824E-03 -1.510025E-04 -1.511675E-04 _shell_0000000262   
       263   1  5.541532E+01 -1.398998E-02 -1.918897E-02  8.013290E-03 -3.491727E-04 -3.482576E-04 _shell_0000000263   
       263   2  5.546928E+01  1.775840E-02  1.293766E-02  8.910667E-03 -3.517732E-04  3.512823E-04 _shell_0000000263   
       263   3  5.158748E+01 -1.164593E-02 -1.229408E-02 -3.833327E-03  3.518207E-04 -3.513298E-04 _shell_0000000263   
       263   4  5.163389E+01  1.533407E-02  1.140363E-02 -4.501563E-03  3.498754E-04  3.489585E-04 _shell_0000000263   
       263   5  5.541532E+01 -1.398998E-02 -1.918897E-02  8.013290E-03  3.491727E-04  3.482576E-04 _shell_0000000263   
       263   6  5.546928E+01  1.775840E-02  1.293766E-02  8.910667E-03  3.517732E-04 -3.512823E-04 _shell_0000000263   
       263   7  5.158748E+01 -1.164593E-02 -1.229408E-02 -3.833327E-03 -3.518208E-04  3.513298E-04 _shell_0000000263   
       263   8  5.163389E+01  1.533407E-02  1.140363E-02 -4.501563E-03 -3.498754E-04 -3.489585E-04 _shell_0000000263   
       264   1  6.205686E+01  2.280939E-02  8.488114E-03  7.680948E-03  2.943159E-04 -2.946407E-04 _shell_0000000264   
       264   2  5.823689E+01  2.272434E-02  8.457367E-03 -9.389572E-03 -2.922976E-04 -2.934863E-04 _shell_0000000264   
       264   3  6.201639E+01 -8.824608E-03 -1.077767E-02  6.591489E-03  2.917049E-04  2.928913E-04 _shell_0000000264   
       264   4  5.819842E+01 -8.852704E-03 -1.250328E-02 -8.465442E-03 -2.945269E-04  2.948519E-04 _shell_0000000264   
       264   5  6.205686E+01  2.280939E-02  8.488114E-03  7.680948E-03 -2.943159E-04  2.946407E-04 _shell_0000000264   
       264   6  5.823689E+01  2.272434E-02  8.457367E-03 -9.389572E-03  2.922975E-04  2.934863E-04 _shell_0000000264   
       264   7  6.201639E+01 -8.824608E-03 -1.077767E-02  6.591489E-03 -2.917049E-04 -2.928913E-04 _shell_0000000264   
       264   8  5.819842E+01 -8.852704E-03 -1.250328E-02 -8.465442E-03  2.945269E-04 -2.948519E-04 _shell_0000000264   
       265   1  5.538163E+01  1.925060E-02 -1.018078E-02 -8.883381E-04 -3.096734E-05 -3.101051E-05 _shell_0000000265   
       265   2  5.541452E+01  5.731819E-02  9.548727E-03 -3.493082E-04 -3.109694E-05  3.109000E-05 _shell_0000000265   
       265   3  5.155999E+01  2.017778E-02 -9.825378E-03 -7.320718E-03  3.110032E-05 -3.109339E-05 _shell_0000000265   
       265   4  5.158934E+01  5.641847E-02  7.302841E-03 -7.791354E-03  3.100677E-05  3.105000E-05 _shell_0000000265   
       265   5  5.538163E+01  1.925060E-02 -1.018078E-02 -8.883381E-04  3.096733E-05  3.101051E-05 _shell_0000000265   
       265   6  5.541452E+01  5.731819E-02  9.548727E-03 -3.493082E-04  3.109693E-05 -3.109000E-05 _shell_0000000265   
       265   7  5.155999E+01  2.017778E-02 -9.825378E-03 -7.320718E-03 -3.110032E-05  3.109339E-05 _shell_0000000265   
       265   8  5.158934E+01  5.641847E-02  7.302841E-03 -7.791354E-03 -3.100677E-05 -3.105001E-05 _shell_0000000265   
       266   1  3.525450E+01  5.323686E-01 -8.492667E-02  1.031792E+00 -1.038735E-02 -1.038736E-02 _shell_0000000266   
       266   2  3.528567E+01  7.142102E-01 -1.765018E-02  1.031792E+00 -1.038736E-02  1.038736E-02 _shell_0000000266   
       266   3  3.245512E+01  5.635309E-01  8.357886E-02  1.031791E+00  1.038736E-02 -1.038736E-02 _shell_0000000266   
       266   4  3.242396E+01  6.830481E-01  5.432067E-03  1.031791E+00  1.038736E-02  1.038736E-02 _shell_0000000266   
       266   5  3.525450E+01  5.323686E-01 -8.492667E-02  1.031792E+00  1.038735E-02  1.038736E-02 _shell_0000000266   
       266   6  3.528567E+01  7.142102E-01 -1.765018E-02  1.031792E+00  1.038736E-02 -1.038736E-02 _shell_0000000266   
       266   7  3.245512E+01  5.635309E-01  8.357886E-02  1.031791E+00 -1.038736E-02  1.038736E-02 _shell_0000000266   
       266   8  3.242396E+01  6.830481E-01  5.432067E-03  1.031791E+00 -1.038736E-02 -1.038736E-02 _shell_0000000266   
       267   1  2.950252E+01 -1.197661E-02 -1.244490E-01  2.787508E-01 -3.563066E-03  3.563065E-03 _shell_0000000267   
       267   2  2.588613E+01 -2.266608E-02 -1.183042E-01  2.787481E-01  3.563061E-03  3.563064E-03 _shell_0000000267   
       267   3  2.949182E+01  1.219976E-01  1.201537E-02  2.787507E-01 -3.563060E-03 -3.563062E-03 _shell_0000000267   
