
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  5.907734E+01  1.249446E-01  1.092207E-02 -1.959973E-01 -1.624100E-03 -1.636162E-03 _shell_0000000261   
       261   2  5.903023E+01  7.387065E-02 -1.539654E-02 -1.967484E-01 -1.627495E-03  1.636001E-03 _shell_0000000261   
       261   3  5.650717E+01  1.287837E-01  1.220479E-03 -2.001723E-01  1.625975E-03 -1.634473E-03 _shell_0000000261   
       261   4  5.645370E+01  6.966585E-02 -4.571096E-02 -1.991208E-01  1.619760E-03  1.631790E-03 _shell_0000000261   
       261   5  5.907734E+01  1.249446E-01  1.092207E-02 -1.959973E-01  1.624100E-03  1.636162E-03 _shell_0000000261   
       261   6  5.903023E+01  7.387065E-02 -1.539654E-02 -1.967484E-01  1.627495E-03 -1.636001E-03 _shell_0000000261   
       261   7  5.650717E+01  1.287837E-01  1.220479E-03 -2.001723E-01 -1.625975E-03  1.634473E-03 _shell_0000000261   
       261   8  5.645370E+01  6.966585E-02 -4.571096E-02 -1.991208E-01 -1.619760E-03 -1.631790E-03 _shell_0000000261   
       262   1  5.469204E+01  1.990194E-01  6.422034E-03 -4.305695E-01  8.284598E-04  8.293653E-04 _shell_0000000262   
       262   2  5.475741E+01  1.588549E-01  1.590507E-02 -4.305865E-01  8.380243E-04 -8.388282E-04 _shell_0000000262   
       262   3  5.205572E+01  1.979303E-01 -2.838862E-02 -4.443528E-01 -8.381735E-04  8.389775E-04 _shell_0000000262   
       262   4  5.212122E+01  1.603057E-01 -1.034116E-02 -4.458059E-01 -8.306401E-04 -8.315480E-04 _shell_0000000262   
       262   5  5.469204E+01  1.990194E-01  6.422034E-03 -4.305695E-01 -8.284598E-04 -8.293653E-04 _shell_0000000262   
       262   6  5.475741E+01  1.588549E-01  1.590507E-02 -4.305865E-01 -8.380243E-04  8.388282E-04 _shell_0000000262   
       262   7  5.205572E+01  1.979303E-01 -2.838862E-02 -4.443528E-01  8.381735E-04 -8.389775E-04 _shell_0000000262   
       262   8  5.212122E+01  1.603057E-01 -1.034116E-02 -4.458059E-01  8.306401E-04  8.315480E-04 _shell_0000000262   
       263   1  5.018673E+01  3.462792E-01  1.148408E-02 -5.260021E-01  7.500787E-04  7.481130E-04 _shell_0000000263   
       263   2  5.023220E+01  2.556072E-01  1.305312E-02 -5.262878E-01  7.556650E-04 -7.546105E-04 _shell_0000000263   
       263   3  4.754578E+01  3.453021E-01 -1.830438E-02 -5.347614E-01 -7.557672E-04  7.547126E-04 _shell_0000000263   
       263   4  4.759198E+01  2.571748E-01 -8.646152E-03 -5.361617E-01 -7.515883E-04 -7.496186E-04 _shell_0000000263   
       263   5  5.018673E+01  3.462792E-01  1.148408E-02 -5.260021E-01 -7.500787E-04 -7.481130E-04 _shell_0000000263   
       263   6  5.023220E+01  2.556072E-01  1.305312E-02 -5.262878E-01 -7.556650E-04  7.546105E-04 _shell_0000000263   
       263   7  4.754578E+01  3.453021E-01 -1.830438E-02 -5.347614E-01  7.557672E-04 -7.547126E-04 _shell_0000000263   
       263   8  4.759198E+01  2.571748E-01 -8.646152E-03 -5.361617E-01  7.515883E-04  7.496186E-04 _shell_0000000263   
       264   1  5.483097E+01  8.144712E-02 -2.844415E-03 -5.230428E-01  1.367379E-03 -1.368888E-03 _shell_0000000264   
