
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  6.267004E+01 -1.708478E-04 -1.391430E-02  6.418190E-03 -2.439068E-03 -2.457182E-03 _shell_0000000261   
       261   2  6.262220E+01 -7.311732E-03 -1.192100E-02  5.422274E-03 -2.444167E-03  2.456940E-03 _shell_0000000261   
       261   3  5.985048E+01  6.252187E-03  1.103089E-02  1.432699E-03  2.441884E-03 -2.454645E-03 _shell_0000000261   
       261   4  5.979170E+01 -1.372742E-02 -1.878523E-02  2.409452E-03  2.432551E-03  2.450616E-03 _shell_0000000261   
       261   5  6.267004E+01 -1.708478E-04 -1.391430E-02  6.418190E-03  2.439068E-03  2.457182E-03 _shell_0000000261   
       261   6  6.262220E+01 -7.311732E-03 -1.192100E-02  5.422274E-03  2.444167E-03 -2.456940E-03 _shell_0000000261   
       261   7  5.985048E+01  6.252187E-03  1.103089E-02  1.432699E-03 -2.441884E-03  2.454645E-03 _shell_0000000261   
       261   8  5.979170E+01 -1.372742E-02 -1.878523E-02  2.409452E-03 -2.432551E-03 -2.450616E-03 _shell_0000000261   
       262   1  5.771118E+01  8.920041E-04 -2.196269E-02 -9.201601E-03 -1.124746E-04 -1.125975E-04 _shell_0000000262   
       262   2  5.778314E+01  5.479167E-02  2.243036E-02 -8.200263E-03 -1.137731E-04  1.138822E-04 _shell_0000000262   
       262   3  5.486846E+01  2.463460E-03 -2.618087E-02 -2.344797E-02  1.137934E-04 -1.139025E-04 _shell_0000000262   
       262   4  5.493451E+01  5.314286E-02  1.324297E-02 -2.396065E-02  1.127706E-04  1.128938E-04 _shell_0000000262   
       262   5  5.771118E+01  8.920041E-04 -2.196269E-02 -9.201601E-03  1.124746E-04  1.125975E-04 _shell_0000000262   
       262   6  5.778314E+01  5.479167E-02  2.243036E-02 -8.200263E-03  1.137731E-04 -1.138822E-04 _shell_0000000262   
       262   7  5.486846E+01  2.463460E-03 -2.618087E-02 -2.344797E-02 -1.137934E-04  1.139025E-04 _shell_0000000262   
       262   8  5.493451E+01  5.314286E-02  1.324297E-02 -2.396065E-02 -1.127706E-04 -1.128939E-04 _shell_0000000262   
       263   1  5.279891E+01  2.223501E-02 -1.711751E-02 -6.292320E-03 -3.269447E-04 -3.260879E-04 _shell_0000000263   
       263   2  5.285010E+01  7.280655E-02  1.545789E-02 -5.537491E-03 -3.293796E-04  3.289200E-04 _shell_0000000263   
       263   3  4.995243E+01  2.421359E-02 -1.380412E-02 -1.515982E-02  3.294242E-04 -3.289645E-04 _shell_0000000263   
       263   4  4.999762E+01  7.086683E-02  1.157635E-02 -1.556148E-02  3.276027E-04  3.267441E-04 _shell_0000000263   
       263   5  5.279891E+01  2.223501E-02 -1.711751E-02 -6.292320E-03  3.269447E-04  3.260879E-04 _shell_0000000263   
       263   6  5.285010E+01  7.280655E-02  1.545789E-02 -5.537491E-03  3.293796E-04 -3.289200E-04 _shell_0000000263   
       263   7  4.995243E+01  2.421359E-02 -1.380412E-02 -1.515982E-02 -3.294242E-04  3.289645E-04 _shell_0000000263   
       263   8  4.999762E+01  7.086683E-02  1.157635E-02 -1.556148E-02 -3.276027E-04 -3.267441E-04 _shell_0000000263   
       264   1  5.774386E+01  8.999638E-02  1.202110E-02 -3.981132E-02  3.297599E-04 -3.301238E-04 _shell_0000000264   
       264   2  5.488895E+01  9.036972E-02  4.677363E-03 -5.269426E-02 -3.274985E-04 -3.288304E-04 _shell_0000000264   
       264   3  5.770650E+01  4.104858E-02 -5.367735E-03 -4.066035E-02  3.268345E-04  3.281637E-04 _shell_0000000264   
       264   4  5.485239E+01  4.075608E-02 -1.555173E-02 -5.204500E-02 -3.299963E-04  3.303605E-04 _shell_0000000264   
       264   5  5.774386E+01  8.999638E-02  1.202110E-02 -3.981132E-02 -3.297599E-04  3.301238E-04 _shell_0000000264   
       264   6  5.488895E+01  9.036972E-02  4.677363E-03 -5.269426E-02  3.274985E-04  3.288304E-04 _shell_0000000264   
       264   7  5.770650E+01  4.104858E-02 -5.367735E-03 -4.066035E-02 -3.268345E-04 -3.281637E-04 _shell_0000000264   
       264   8  5.485239E+01  4.075608E-02 -1.555173E-02 -5.204500E-02  3.299963E-04 -3.303605E-04 _shell_0000000264   
       265   1  5.273475E+01  1.415525E-01 -8.124897E-03 -6.296568E-02  4.958875E-05  4.965789E-05 _shell_0000000265   
       265   2  5.276571E+01  2.295128E-01  2.099460E-02 -6.254440E-02  4.979628E-05 -4.978518E-05 _shell_0000000265   
       265   3  4.986341E+01  1.421102E-01 -1.855980E-02 -6.786136E-02 -4.980170E-05  4.979060E-05 _shell_0000000265   
       265   4  4.989217E+01  2.291926E-01  9.663969E-03 -6.818597E-02 -4.965190E-05 -4.972113E-05 _shell_0000000265   
       265   5  5.273475E+01  1.415525E-01 -8.124897E-03 -6.296568E-02 -4.958875E-05 -4.965789E-05 _shell_0000000265   
       265   6  5.276571E+01  2.295128E-01  2.099460E-02 -6.254440E-02 -4.979628E-05  4.978517E-05 _shell_0000000265   
       265   7  4.986341E+01  1.421102E-01 -1.855980E-02 -6.786136E-02  4.980170E-05 -4.979060E-05 _shell_0000000265   
       265   8  4.989217E+01  2.291926E-01  9.663969E-03 -6.818597E-02  4.965190E-05  4.972112E-05 _shell_0000000265   
       266   1  3.548076E+01  1.748597E+00  2.605329E-02 -2.910906E-01  9.546781E-03  9.546783E-03 _shell_0000000266   
       266   2  3.545213E+01  1.212359E+00  1.843017E-01 -2.910906E-01  9.546785E-03 -9.546785E-03 _shell_0000000266   
       266   3  3.253098E+01  1.719957E+00 -2.495702E-01 -2.910911E-01 -9.546785E-03  9.546785E-03 _shell_0000000266   
       266   4  3.255962E+01  1.240999E+00  4.233292E-02 -2.910913E-01 -9.546782E-03 -9.546785E-03 _shell_0000000266   
       266   5  3.548076E+01  1.748597E+00  2.605329E-02 -2.910906E-01 -9.546781E-03 -9.546783E-03 _shell_0000000266   
       266   6  3.545213E+01  1.212359E+00  1.843017E-01 -2.910906E-01 -9.546785E-03  9.546785E-03 _shell_0000000266   
       266   7  3.253098E+01  1.719957E+00 -2.495702E-01 -2.910911E-01  9.546785E-03 -9.546785E-03 _shell_0000000266   
       266   8  3.255962E+01  1.240999E+00  4.233292E-02 -2.910913E-01  9.546782E-03  9.546785E-03 _shell_0000000266   
       267   1  3.231149E+01  3.291087E+00  4.231682E-01  2.203166E+00  1.701338E-03 -1.701337E-03 _shell_0000000267   
       267   2  3.188635E+01  3.296192E+00  8.909620E-01  2.203166E+00 -1.701336E-03 -1.701337E-03 _shell_0000000267   
       267   3  3.231658E+01  1.477216E+00 -1.441789E-01  2.203165E+00  1.701335E-03  1.701336E-03 _shell_0000000267   
       267   4  3.188124E+01  1.472112E+00  2.997963E-01  2.203165E+00 -1.701338E-03  1.701337E-03 _shell_0000000267   
       267   5  3.231149E+01  3.291087E+00  4.231682E-01  2.203166E+00 -1.701338E-03  1.701337E-03 _shell_0000000267   
       267   6  3.188635E+01  3.296192E+00  8.909620E-01  2.203166E+00  1.701336E-03  1.701337E-03 _shell_0000000267   
       267   7  3.231658E+01  1.477216E+00 -1.441789E-01  2.203165E+00 -1.701335E-03 -1.701336E-03 _shell_0000000267   
       267   8  3.188124E+01  1.472112E+00  2.997963E-01  2.203165E+00  1.701338E-03 -1.701337E-03 _shell_0000000267   
       268   1 -1.495434E+01  5.038742E+00  9.178916E-01  1.489238E+01  1.850360E-02 -1.850360E-02 _shell_0000000268   
       268   2 -1.587329E+01  4.983232E+00  1.056901E-01  1.489238E+01 -1.850360E-02 -1.850360E-02 _shell_0000000268   
       268   3 -1.500985E+01  6.148771E+00 -3.340717E-02  1.489238E+01  1.850360E-02  1.850360E-02 _shell_0000000268   
       268   4 -1.581778E+01  6.204282E+00 -5.865583E-01  1.489238E+01 -1.850360E-02  1.850360E-02 _shell_0000000268   
       268   5 -1.495434E+01  5.038742E+00  9.178916E-01  1.489238E+01 -1.850360E-02  1.850360E-02 _shell_0000000268   
       268   6 -1.587329E+01  4.983232E+00  1.056901E-01  1.489238E+01  1.850360E-02  1.850360E-02 _shell_0000000268   
       268   7 -1.500985E+01  6.148771E+00 -3.340717E-02  1.489238E+01 -1.850360E-02 -1.850360E-02 _shell_0000000268   
       268   8 -1.581778E+01  6.204282E+00 -5.865583E-01  1.489238E+01  1.850360E-02 -1.850360E-02 _shell_0000000268   
       269   1 -1.183092E+01  8.027399E+00  7.298772E-01  1.762926E+01  3.336154E-02 -3.336154E-02 _shell_0000000269   
       269   2 -1.411441E+01  7.927315E+00 -1.151913E-01  1.762926E+01 -3.336154E-02 -3.336154E-02 _shell_0000000269   
       269   3 -1.193100E+01  8.823447E+00  1.463948E-01  1.762926E+01  3.336154E-02  3.336154E-02 _shell_0000000269   
       269   4 -1.401433E+01  8.923531E+00 -2.316121E-01  1.762926E+01 -3.336154E-02  3.336154E-02 _shell_0000000269   
       269   5 -1.183092E+01  8.027399E+00  7.298772E-01  1.762926E+01 -3.336154E-02  3.336154E-02 _shell_0000000269   
       269   6 -1.411441E+01  7.927315E+00 -1.151913E-01  1.762926E+01  3.336154E-02  3.336154E-02 _shell_0000000269   
       269   7 -1.193100E+01  8.823447E+00  1.463948E-01  1.762926E+01 -3.336154E-02 -3.336154E-02 _shell_0000000269   
       269   8 -1.401433E+01  8.923531E+00 -2.316121E-01  1.762926E+01  3.336154E-02 -3.336154E-02 _shell_0000000269   
       270   1 -1.449633E+01  6.962295E+00  4.875483E-01  1.678551E+01  2.499036E-02 -2.499036E-02 _shell_0000000270   
       270   2 -1.286581E+01  6.887324E+00 -2.333111E-01  1.678551E+01 -2.499036E-02 -2.499036E-02 _shell_0000000270   
       270   3 -1.457130E+01  8.908224E+00  1.391858E-01  1.678551E+01  2.499036E-02  2.499036E-02 _shell_0000000270   
       270   4 -1.279084E+01  8.983195E+00 -2.318085E-01  1.678551E+01 -2.499036E-02  2.499036E-02 _shell_0000000270   
       270   5 -1.449633E+01  6.962295E+00  4.875483E-01  1.678551E+01 -2.499036E-02  2.499036E-02 _shell_0000000270   
       270   6 -1.286581E+01  6.887324E+00 -2.333111E-01  1.678551E+01  2.499036E-02  2.499036E-02 _shell_0000000270   
       270   7 -1.457130E+01  8.908224E+00  1.391858E-01  1.678551E+01 -2.499036E-02 -2.499036E-02 _shell_0000000270   
       270   8 -1.279084E+01  8.983195E+00 -2.318085E-01  1.678551E+01  2.499036E-02 -2.499036E-02 _shell_0000000270   
       271   1 -1.384019E+01  9.984090E+00  7.878562E-02  1.841213E+01  3.178587E-02  3.178587E-02 _shell_0000000271   
       271   2 -1.374483E+01  9.965386E+00  2.990982E-01  1.841213E+01  3.178587E-02 -3.178587E-02 _shell_0000000271   
       271   3 -1.263274E+01  1.007945E+01  8.870532E-02  1.841213E+01 -3.178587E-02  3.178587E-02 _shell_0000000271   
       271   4 -1.272809E+01  9.870028E+00 -1.359843E-01  1.841213E+01 -3.178587E-02 -3.178587E-02 _shell_0000000271   
       271   5 -1.384019E+01  9.984090E+00  7.878562E-02  1.841213E+01 -3.178587E-02 -3.178587E-02 _shell_0000000271   
