
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  6.418766E+01 -3.552826E-04 -1.395463E-02  7.386842E-03 -2.482214E-03 -2.500648E-03 _shell_0000000261   
       261   2  6.413855E+01 -9.169014E-03 -1.205798E-02  6.267675E-03 -2.487402E-03  2.500402E-03 _shell_0000000261   
       261   3  6.101964E+01  6.083271E-03  1.175972E-02  1.769509E-03  2.485079E-03 -2.498066E-03 _shell_0000000261   
       261   4  6.095979E+01 -1.559802E-02 -1.845826E-02  2.866845E-03  2.475581E-03  2.493966E-03 _shell_0000000261   
       261   5  6.418766E+01 -3.552826E-04 -1.395463E-02  7.386842E-03  2.482214E-03  2.500648E-03 _shell_0000000261   
       261   6  6.413855E+01 -9.169014E-03 -1.205798E-02  6.267675E-03  2.487402E-03 -2.500402E-03 _shell_0000000261   
       261   7  6.101964E+01  6.083270E-03  1.175972E-02  1.769509E-03 -2.485079E-03  2.498066E-03 _shell_0000000261   
       261   8  6.095979E+01 -1.559802E-02 -1.845826E-02  2.866845E-03 -2.475581E-03 -2.493966E-03 _shell_0000000261   
       262   1  5.862044E+01 -7.231270E-03 -2.335245E-02 -2.917158E-03 -1.129216E-04 -1.130450E-04 _shell_0000000262   
       262   2  5.869363E+01  4.196846E-02  2.231714E-02 -1.840089E-03 -1.142253E-04  1.143349E-04 _shell_0000000262   
       262   3  5.543327E+01 -5.519598E-03 -2.590839E-02 -1.883351E-02  1.142456E-04 -1.143552E-04 _shell_0000000262   
       262   4  5.549989E+01  4.013167E-02  1.436287E-02 -1.945787E-02  1.132188E-04  1.133425E-04 _shell_0000000262   
       262   5  5.862044E+01 -7.231270E-03 -2.335245E-02 -2.917158E-03  1.129216E-04  1.130450E-04 _shell_0000000262   
       262   6  5.869363E+01  4.196846E-02  2.231714E-02 -1.840089E-03  1.142253E-04 -1.143349E-04 _shell_0000000262   
       262   7  5.543327E+01 -5.519598E-03 -2.590839E-02 -1.883351E-02 -1.142456E-04  1.143552E-04 _shell_0000000262   
       262   8  5.549989E+01  4.013167E-02  1.436287E-02 -1.945787E-02 -1.132188E-04 -1.133425E-04 _shell_0000000262   
       263   1  5.310926E+01  1.047335E-02 -1.773765E-02 -2.428678E-03 -3.239922E-04 -3.231431E-04 _shell_0000000263   
       263   2  5.316082E+01  5.254047E-02  1.450377E-02 -1.631922E-03 -3.264051E-04  3.259496E-04 _shell_0000000263   
       263   3  4.991895E+01  1.254894E-02 -1.328320E-02 -1.233866E-02  3.264493E-04 -3.259937E-04 _shell_0000000263   
       263   4  4.996403E+01  5.046199E-02  1.148032E-02 -1.284231E-02  3.246442E-04  3.237934E-04 _shell_0000000263   
       263   5  5.310926E+01  1.047335E-02 -1.773765E-02 -2.428678E-03  3.239922E-04  3.231431E-04 _shell_0000000263   
       263   6  5.316082E+01  5.254047E-02  1.450377E-02 -1.631922E-03  3.264051E-04 -3.259496E-04 _shell_0000000263   
       263   7  4.991895E+01  1.254894E-02 -1.328320E-02 -1.233866E-02 -3.264493E-04  3.259937E-04 _shell_0000000263   
       263   8  4.996403E+01  5.046199E-02  1.148032E-02 -1.284231E-02 -3.246442E-04 -3.237934E-04 _shell_0000000263   
       264   1  5.864870E+01  6.163804E-02  1.045658E-02 -2.392425E-02  3.303564E-04 -3.307209E-04 _shell_0000000264   
       264   2  5.545542E+01  6.188217E-02  6.245934E-03 -3.827358E-02 -3.280908E-04 -3.294252E-04 _shell_0000000264   
       264   3  5.861068E+01  2.155208E-02 -7.440553E-03 -2.485014E-02  3.274256E-04  3.287572E-04 _shell_0000000264   
       264   4  5.541855E+01  2.131146E-02 -1.426792E-02 -3.751976E-02 -3.305932E-04  3.309580E-04 _shell_0000000264   
       264   5  5.864870E+01  6.163804E-02  1.045658E-02 -2.392425E-02 -3.303564E-04  3.307209E-04 _shell_0000000264   
       264   6  5.545542E+01  6.188217E-02  6.245934E-03 -3.827358E-02  3.280908E-04  3.294252E-04 _shell_0000000264   
       264   7  5.861068E+01  2.155208E-02 -7.440553E-03 -2.485014E-02 -3.274256E-04 -3.287573E-04 _shell_0000000264   
       264   8  5.541855E+01  2.131146E-02 -1.426792E-02 -3.751976E-02  3.305932E-04 -3.309580E-04 _shell_0000000264   
       265   1  5.305613E+01  8.808696E-02 -8.968233E-03 -3.987138E-02  3.635583E-05  3.640652E-05 _shell_0000000265   
       265   2  5.308737E+01  1.507299E-01  1.588767E-02 -3.941514E-02  3.650798E-05 -3.649984E-05 _shell_0000000265   
       265   3  4.985352E+01  8.872249E-02 -1.488675E-02 -4.530007E-02 -3.651196E-05  3.650381E-05 _shell_0000000265   
       265   4  4.988217E+01  1.502382E-01  8.682334E-03 -4.568340E-02 -3.640213E-05 -3.645289E-05 _shell_0000000265   
