
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  5.800157E+01  1.589105E-02 -1.015824E-02 -1.901786E-02 -2.175514E-03 -2.191671E-03 _shell_0000000261   
       261   2  5.795708E+01  6.682287E-03 -1.119758E-02 -1.986036E-02 -2.180062E-03  2.191455E-03 _shell_0000000261   
       261   3  5.555911E+01  2.161759E-02  8.432275E-03 -2.328260E-02  2.178026E-03 -2.189408E-03 _shell_0000000261   
       261   4  5.550477E+01  9.099153E-04 -2.104783E-02 -2.241645E-02  2.169701E-03  2.185814E-03 _shell_0000000261   
       261   5  5.800157E+01  1.589105E-02 -1.015824E-02 -1.901786E-02  2.175514E-03  2.191671E-03 _shell_0000000261   
       261   6  5.795708E+01  6.682287E-03 -1.119758E-02 -1.986036E-02  2.180062E-03 -2.191455E-03 _shell_0000000261   
       261   7  5.555911E+01  2.161759E-02  8.432275E-03 -2.328260E-02 -2.178026E-03  2.189408E-03 _shell_0000000261   
       261   8  5.550477E+01  9.099153E-04 -2.104783E-02 -2.241645E-02 -2.169701E-03 -2.185814E-03 _shell_0000000261   
       262   1  5.371583E+01  3.526187E-02 -1.681676E-02 -6.163483E-02  5.566741E-06  5.572825E-06 _shell_0000000262   
       262   2  5.378242E+01  8.125539E-02  2.174808E-02 -6.083229E-02  5.631008E-06 -5.636418E-06 _shell_0000000262   
       262   3  5.124110E+01  3.636323E-02 -2.689565E-02 -7.413579E-02 -5.632013E-06  5.637414E-06 _shell_0000000262   
       262   4  5.130317E+01  8.018238E-02  8.816617E-03 -7.465117E-02 -5.581393E-06 -5.587500E-06 _shell_0000000262   
       262   5  5.371583E+01  3.526187E-02 -1.681676E-02 -6.163483E-02 -5.566744E-06 -5.572827E-06 _shell_0000000262   
       262   6  5.378242E+01  8.125539E-02  2.174808E-02 -6.083229E-02 -5.631011E-06  5.636406E-06 _shell_0000000262   
