
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  5.716082E+01  2.867408E-02 -7.627454E-03 -4.064166E-02 -2.062175E-03 -2.077490E-03 _shell_0000000261   
       261   2  5.711676E+01  1.334170E-02 -1.167956E-02 -4.142380E-02 -2.066486E-03  2.077285E-03 _shell_0000000261   
       261   3  5.484545E+01  3.407856E-02  7.344513E-03 -4.463853E-02  2.064556E-03 -2.075345E-03 _shell_0000000261   
       261   4  5.479204E+01  7.856588E-03 -2.366597E-02 -4.379978E-02  2.056665E-03  2.071939E-03 _shell_0000000261   
       261   5  5.716082E+01  2.867408E-02 -7.627454E-03 -4.064166E-02  2.062175E-03  2.077490E-03 _shell_0000000261   
       261   6  5.711676E+01  1.334170E-02 -1.167956E-02 -4.142380E-02  2.066486E-03 -2.077285E-03 _shell_0000000261   
       261   7  5.484545E+01  3.407856E-02  7.344513E-03 -4.463853E-02 -2.064556E-03  2.075345E-03 _shell_0000000261   
       261   8  5.479204E+01  7.856588E-03 -2.366597E-02 -4.379978E-02 -2.056665E-03 -2.071939E-03 _shell_0000000261   
       262   1  5.311278E+01  4.970719E-02 -1.377914E-02 -1.052284E-01  1.068934E-04  1.070102E-04 _shell_0000000262   
       262   2  5.317829E+01  7.837929E-02  1.954298E-02 -1.045957E-01  1.081275E-04 -1.082312E-04 _shell_0000000262   
       262   3  5.076535E+01  5.046963E-02 -2.598834E-02 -1.171629E-01 -1.081467E-04  1.082505E-04 _shell_0000000262   
       262   4  5.082717E+01  7.766863E-02  6.054993E-03 -1.177867E-01 -1.071747E-04 -1.072919E-04 _shell_0000000262   
       262   5  5.311278E+01  4.970719E-02 -1.377914E-02 -1.052284E-01 -1.068934E-04 -1.070102E-04 _shell_0000000262   
       262   6  5.317829E+01  7.837929E-02  1.954298E-02 -1.045957E-01 -1.081275E-04  1.082312E-04 _shell_0000000262   
       262   7  5.076535E+01  5.046963E-02 -2.598834E-02 -1.171629E-01  1.081467E-04 -1.082505E-04 _shell_0000000262   
       262   8  5.082717E+01  7.766863E-02  6.054993E-03 -1.177867E-01  1.071747E-04  1.072919E-04 _shell_0000000262   
       263   1  4.907104E+01  1.039317E-01 -9.316039E-03 -1.205837E-01 -1.050189E-04 -1.047436E-04 _shell_0000000263   
       263   2  4.911795E+01  1.231819E-01  1.532200E-02 -1.201494E-01 -1.058010E-04  1.056533E-04 _shell_0000000263   
       263   3  4.671645E+01  1.051638E-01 -1.669810E-02 -1.280565E-01  1.058153E-04 -1.056676E-04 _shell_0000000263   
       263   4  4.675939E+01  1.221417E-01  4.310675E-03 -1.285859E-01  1.052302E-04  1.049544E-04 _shell_0000000263   
       263   5  4.907104E+01  1.039317E-01 -9.316039E-03 -1.205837E-01  1.050189E-04  1.047436E-04 _shell_0000000263   
       263   6  4.911795E+01  1.231819E-01  1.532200E-02 -1.201494E-01  1.058010E-04 -1.056533E-04 _shell_0000000263   
       263   7  4.671645E+01  1.051638E-01 -1.669810E-02 -1.280565E-01 -1.058153E-04  1.056676E-04 _shell_0000000263   
       263   8  4.675939E+01  1.221417E-01  4.310675E-03 -1.285859E-01 -1.052302E-04 -1.049544E-04 _shell_0000000263   
       264   1  5.317011E+01  7.511698E-02  6.863126E-03 -1.516395E-01  5.459682E-04 -5.465706E-04 _shell_0000000264   
       264   2  5.081385E+01  7.624335E-02 -3.804941E-04 -1.624728E-01 -5.422240E-04 -5.444292E-04 _shell_0000000264   
       264   3  5.313647E+01  6.048704E-02  5.092472E-04 -1.521988E-01  5.411246E-04  5.433254E-04 _shell_0000000264   
       264   4  5.077925E+01  5.946535E-02 -1.289354E-02 -1.617896E-01 -5.463596E-04  5.469624E-04 _shell_0000000264   
       264   5  5.317011E+01  7.511698E-02  6.863126E-03 -1.516395E-01 -5.459682E-04  5.465706E-04 _shell_0000000264   
       264   6  5.081385E+01  7.624335E-02 -3.804941E-04 -1.624728E-01  5.422240E-04  5.444292E-04 _shell_0000000264   
       264   7  5.313647E+01  6.048704E-02  5.092472E-04 -1.521988E-01 -5.411246E-04 -5.433254E-04 _shell_0000000264   
       264   8  5.077925E+01  5.946535E-02 -1.289354E-02 -1.617896E-01  5.463596E-04 -5.469625E-04 _shell_0000000264   
       265   1  4.906509E+01  1.091984E-01 -3.278971E-03 -2.072686E-01  3.155754E-04  3.160154E-04 _shell_0000000265   
       265   2  4.909305E+01  1.333214E-01  1.154750E-02 -2.070529E-01  3.168961E-04 -3.168254E-04 _shell_0000000265   
       265   3  4.669120E+01  1.088333E-01 -1.363581E-02 -2.114236E-01 -3.169306E-04  3.168599E-04 _shell_0000000265   
       265   4  4.671897E+01  1.338388E-01  4.284689E-03 -2.118348E-01 -3.159773E-04 -3.164179E-04 _shell_0000000265   
       265   5  4.906509E+01  1.091984E-01 -3.278971E-03 -2.072686E-01 -3.155754E-04 -3.160154E-04 _shell_0000000265   
       265   6  4.909305E+01  1.333214E-01  1.154750E-02 -2.070529E-01 -3.168961E-04  3.168254E-04 _shell_0000000265   
       265   7  4.669120E+01  1.088333E-01 -1.363581E-02 -2.114236E-01  3.169306E-04 -3.168599E-04 _shell_0000000265   
       265   8  4.671897E+01  1.338388E-01  4.284689E-03 -2.118348E-01  3.159773E-04  3.164178E-04 _shell_0000000265   
       266   1  3.556134E+01  4.544381E-01  1.353083E-02 -3.609885E-01  1.502896E-03  1.502896E-03 _shell_0000000266   
       266   2  3.555683E+01  1.458511E-01  4.638835E-02 -3.609885E-01  1.502896E-03 -1.502896E-03 _shell_0000000266   
       266   3  3.295223E+01  4.499295E-01 -9.449731E-02 -3.609890E-01 -1.502896E-03  1.502896E-03 _shell_0000000266   
       266   4  3.295674E+01  1.503597E-01 -4.059951E-02 -3.609891E-01 -1.502896E-03 -1.502896E-03 _shell_0000000266   
       266   5  3.556134E+01  4.544381E-01  1.353083E-02 -3.609885E-01 -1.502896E-03 -1.502896E-03 _shell_0000000266   
       266   6  3.555683E+01  1.458511E-01  4.638835E-02 -3.609885E-01 -1.502896E-03  1.502896E-03 _shell_0000000266   
       266   7  3.295223E+01  4.499295E-01 -9.449731E-02 -3.609890E-01  1.502896E-03 -1.502896E-03 _shell_0000000266   
       266   8  3.295674E+01  1.503597E-01 -4.059951E-02 -3.609891E-01  1.502896E-03  1.502896E-03 _shell_0000000266   
       267   1  3.169300E+01  1.112546E+00  1.100291E-01  4.463467E-01 -2.390120E-03  2.390119E-03 _shell_0000000267   
       267   2  2.935019E+01  1.105376E+00 -3.272691E-03  4.463450E-01  2.390117E-03  2.390119E-03 _shell_0000000267   
       267   3  3.168582E+01  8.891578E-01 -2.188146E-02  4.463465E-01 -2.390116E-03 -2.390118E-03 _shell_0000000267   
       267   4  2.935735E+01  8.963285E-01 -1.017211E-01  4.463450E-01  2.390120E-03 -2.390119E-03 _shell_0000000267   
       267   5  3.169300E+01  1.112546E+00  1.100291E-01  4.463467E-01  2.390120E-03 -2.390119E-03 _shell_0000000267   
       267   6  2.935019E+01  1.105376E+00 -3.272691E-03  4.463450E-01 -2.390117E-03 -2.390119E-03 _shell_0000000267   
       267   7  3.168582E+01  8.891578E-01 -2.188146E-02  4.463465E-01  2.390116E-03  2.390118E-03 _shell_0000000267   
       267   8  2.935735E+01  8.963285E-01 -1.017211E-01  4.463450E-01 -2.390120E-03  2.390119E-03 _shell_0000000267   
