
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLIDMATERIALELEMENTGEOMETRY2D and time  0.1000000E+01

       261   1  5.663292E+01 -9.909532E-03 -2.089878E-02  7.107775E-03 -2.106506E-03 -2.122150E-03 _shell_0000000261   
       261   2  5.659034E+01 -1.533655E-02 -1.299591E-02  7.677140E-03 -2.110909E-03  2.121941E-03 _shell_0000000261   
       261   3  5.830528E+01 -3.005257E-03  4.198906E-03  1.027428E-02  2.108938E-03 -2.119959E-03 _shell_0000000261   
       261   4  5.824785E+01 -2.218168E-02 -1.885042E-02  9.681260E-03  2.100877E-03  2.116480E-03 _shell_0000000261   
       261   5  5.663292E+01 -9.909532E-03 -2.089878E-02  7.107775E-03  2.106506E-03  2.122150E-03 _shell_0000000261   
       261   6  5.659034E+01 -1.533655E-02 -1.299591E-02  7.677140E-03  2.110909E-03 -2.121941E-03 _shell_0000000261   
       261   7  5.830528E+01 -3.005257E-03  4.198906E-03  1.027428E-02 -2.108938E-03  2.119959E-03 _shell_0000000261   
       261   8  5.824785E+01 -2.218168E-02 -1.885042E-02  9.681260E-03 -2.100877E-03 -2.116480E-03 _shell_0000000261   
       262   1  5.948438E+01 -2.801386E-02 -2.070260E-02  1.277407E-03 -3.429586E-05 -3.433334E-05 _shell_0000000262   
       262   2  5.955689E+01 -1.459807E-03  1.293235E-02  9.717953E-04 -3.469180E-05  3.472507E-05 _shell_0000000262   
       262   3  6.116827E+01 -2.864557E-02 -2.400724E-02  9.033127E-03  3.469797E-05 -3.473126E-05 _shell_0000000262   
       262   4  6.124367E+01 -7.846353E-04  1.114687E-02  9.628003E-03  3.438611E-05  3.442369E-05 _shell_0000000262   
       262   5  5.948438E+01 -2.801386E-02 -2.070260E-02  1.277407E-03  3.429585E-05  3.433334E-05 _shell_0000000262   
       262   6  5.955689E+01 -1.459807E-03  1.293235E-02  9.717954E-04  3.469179E-05 -3.472508E-05 _shell_0000000262   
       262   7  6.116827E+01 -2.864557E-02 -2.400724E-02  9.033128E-03 -3.469798E-05  3.473126E-05 _shell_0000000262   
       262   8  6.124367E+01 -7.846353E-04  1.114687E-02  9.628003E-03 -3.438612E-05 -3.442370E-05 _shell_0000000262   
       263   1  6.241211E+01 -1.246337E-02 -1.546071E-02 -2.631420E-03 -3.699343E-04 -3.689648E-04 _shell_0000000263   
       263   2  6.247137E+01  3.408409E-03  1.010374E-02 -2.913746E-03 -3.726894E-04  3.721693E-04 _shell_0000000263   
       263   3  6.408955E+01 -1.191145E-02 -1.316970E-02  2.255138E-03  3.727398E-04 -3.722196E-04 _shell_0000000263   
       263   4  6.414895E+01  2.880242E-03  8.713128E-03  2.655545E-03  3.706787E-04  3.697073E-04 _shell_0000000263   
       263   5  6.241211E+01 -1.246337E-02 -1.546071E-02 -2.631420E-03  3.699342E-04  3.689648E-04 _shell_0000000263   
       263   6  6.247137E+01  3.408409E-03  1.010374E-02 -2.913746E-03  3.726894E-04 -3.721693E-04 _shell_0000000263   
       263   7  6.408955E+01 -1.191145E-02 -1.316970E-02  2.255138E-03 -3.727398E-04  3.722196E-04 _shell_0000000263   
       263   8  6.414895E+01  2.880242E-03  8.713128E-03  2.655545E-03 -3.706788E-04 -3.697073E-04 _shell_0000000263   
       264   1  5.956245E+01 -1.523444E-02  1.730075E-03  1.725598E-03  2.233273E-04 -2.235737E-04 _shell_0000000264   
       264   2  6.124912E+01 -1.415849E-02  3.762744E-03  8.773341E-03 -2.217957E-04 -2.226978E-04 _shell_0000000264   
       264   3  5.952431E+01 -2.071703E-02 -3.909866E-03  2.148511E-03  2.213460E-04  2.222463E-04 _shell_0000000264   
       264   4  6.120798E+01 -2.178733E-02 -6.084132E-03  8.308052E-03 -2.234874E-04  2.237340E-04 _shell_0000000264   
       264   5  5.956245E+01 -1.523444E-02  1.730075E-03  1.725599E-03 -2.233273E-04  2.235737E-04 _shell_0000000264   
       264   6  6.124912E+01 -1.415849E-02  3.762744E-03  8.773341E-03  2.217957E-04  2.226978E-04 _shell_0000000264   
       264   7  5.952431E+01 -2.071703E-02 -3.909866E-03  2.148511E-03 -2.213460E-04 -2.222463E-04 _shell_0000000264   
       264   8  6.120798E+01 -2.178733E-02 -6.084132E-03  8.308052E-03  2.234874E-04 -2.237340E-04 _shell_0000000264   
       265   1  6.246848E+01 -2.611315E-02 -5.567073E-03 -1.463644E-02  5.485535E-05  5.493184E-05 _shell_0000000265   
       265   2  6.250442E+01 -2.112545E-02  2.361489E-03 -1.485929E-02  5.508492E-05 -5.507264E-05 _shell_0000000265   
       265   3  6.413704E+01 -2.664938E-02 -7.483165E-03 -1.194599E-02 -5.509093E-05  5.507863E-05 _shell_0000000265   
       265   4  6.417479E+01 -2.061105E-02  2.168448E-03 -1.172751E-02 -5.492521E-05 -5.500179E-05 _shell_0000000265   
       265   5  6.246848E+01 -2.611315E-02 -5.567073E-03 -1.463644E-02 -5.485536E-05 -5.493184E-05 _shell_0000000265   
       265   6  6.250442E+01 -2.112545E-02  2.361489E-03 -1.485929E-02 -5.508493E-05  5.507264E-05 _shell_0000000265   
       265   7  6.413704E+01 -2.664938E-02 -7.483165E-03 -1.194599E-02  5.509092E-05 -5.507864E-05 _shell_0000000265   
